SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Fireplace,Garage,Floors,Windows,PreviousSalePrice,IsLuxury,HouseColor_Green,HouseColor_Red,HouseColor_White,HouseColor_Yellow,Price
1162.96,2.695222154,3,298.1,4.07,9.09,72.25,58.0,98.83,1.93,6.64,2.6,2.97,0,0,1,5,412883.6208,1,False,False,False,False,313587.0135
1023.07,1.177763634,4,55.58,13.02,8.3,15.38,3.08,94.05,1.53,6.2,7.85,5.54,0,0,1,15,350043.317,1,False,False,True,False,354100.9924
554.35,1.076686559,3,198.32,31.51,6.56,80.3,8.17,85.1,1.34,4.28,7.04,4.82,0,1,1,9,47422.38379,0,True,False,False,False,144202.7392
1774.02,1.260431272,3,559.58,44.85,8.23,64.57,1.07,92.95,1.18,4.06,2.06,4.7,0,0,1,14,361855.2389,0,False,False,True,False,322596.4145
972.44,1.151764321,3,181.58,72.18,7.29,38.06,35.95,94.53,1.51,4.36,3.3,7.42,0,0,1,21,191925.6804,0,False,False,False,False,239822.1002
805.18,2.558068308,4,949.4,58.93,3.47,20.4,21.02,89.88,0.92,5.09,8.08,5.96,0,0,1,18,270707.5242,0,False,True,False,False,229305.9829
550.0,1.55712734,4,424.6,38.5,8.88,15.98,21.79,99.9,1.14,4.72,9.41,5.91,0,0,1,11,155812.4042,0,False,True,False,False,196579.568
1412.1,1.503920906,3,331.92,44.88,6.25,52.27,8.39,97.78,1.75,7.36,5.41,6.2,0,1,1,24,387443.9559,1,False,True,False,False,468592.981
609.19,1.954840203,3,614.34,56.53,7.3,28.21,13.23,99.9,0.77,6.92,4.91,5.23,0,0,2,7,205016.2211,0,False,False,False,False,273277.7833
1533.97,3.837694783,4,521.74,30.03,9.64,74.67,23.38,94.29,1.75,6.26,2.15,1.89,0,1,1,9,484210.8009,1,True,False,False,False,397874.7103
1038.58,1.323930318,2,280.62,45.26,1.97,10.67,36.82,96.08,2.31,2.88,2.43,3.49,0,0,2,31,40596.24365,0,False,False,False,False,124403.889
550.0,1.612192691,2,375.04,3.77,3.82,93.77,38.86,99.9,1.79,1.3,10.0,7.26,0,0,1,22,3846.07159,0,False,False,True,False,94893.72949
818.16,2.2126038,2,652.94,16.28,7.61,12.9,20.93,95.68,0.94,5.73,7.88,9.42,1,0,1,17,212660.6431,0,False,False,False,False,218535.876
1269.84,1.0,3,509.97,25.79,4.32,80.95,0.02,96.21,1.87,6.41,5.17,4.96,0,0,1,15,114866.6244,0,False,False,False,True,217171.6912
1156.5,2.155997995,5,708.0,4.54,7.93,13.62,6.92,90.12,1.77,5.93,7.8,8.22,0,1,1,4,699575.9511,1,False,True,False,False,353651.7208
550.0,1.393566807,5,1040.32,45.06,9.17,50.46,29.38,98.93,1.18,7.17,2.0,4.48,1,1,1,25,167589.5258,1,False,False,False,False,269777.4651
1407.15,2.583406687,5,850.04,35.0,9.02,86.61,58.45,89.84,1.43,6.65,8.73,10.0,0,0,1,16,469803.2201,1,False,False,False,True,498276.9679
592.53,1.824204056,3,756.19,2.77,7.2,99.13,36.99,93.17,1.88,4.69,8.87,8.1,0,0,1,9,136328.4322,0,False,False,False,False,169045.8255
1110.45,1.247922529,3,525.42,42.13,10.0,19.87,63.89,95.3,0.61,6.07,9.59,8.81,0,1,1,9,306258.6187,1,False,False,False,True,304931.3849
550.0,1.337630765,3,319.65,8.59,8.18,3.36,14.24,97.18,0.73,5.17,5.17,7.34,0,0,1,17,249008.2782,1,False,False,False,False,306655.055
1028.46,1.0,3,369.83,51.39,5.2,104.99,24.35,99.9,2.44,6.35,7.02,6.48,1,0,1,17,132767.1623,0,False,False,True,False,184235.5417
810.55,1.0,3,480.0,64.28,4.68,19.0,3.55,89.87,0.79,2.73,6.57,5.21,0,1,1,6,155395.991,0,False,False,False,False,189418.2463
678.71,3.490849386,4,524.98,20.75,6.63,54.64,39.12,86.4,1.38,4.79,4.01,8.97,1,0,1,3,316287.6994,0,False,False,True,False,257606.4882
555.51,1.0,2,611.77,16.59,5.5,23.99,17.09,97.07,1.38,6.04,7.68,7.19,0,0,1,17,3654.810686,0,False,True,False,False,102297.5218
550.0,2.332644005,2,1255.34,0.73,7.55,18.93,3.4,93.14,1.27,1.9,6.41,4.36,0,1,1,10,47494.2091,0,False,False,True,False,165193.2235
1314.1,2.685641435,4,1209.42,31.21,6.41,16.76,12.12,88.17,1.4,4.16,6.31,8.0,0,0,1,8,479006.0791,1,False,True,False,False,426242.3791
1440.88,1.905538605,3,234.59,33.33,7.95,25.91,5.54,95.36,1.66,3.68,5.93,3.49,0,1,2,27,336188.9126,1,False,False,False,False,324219.1165
959.56,5.199416616,3,464.31,22.58,8.17,51.58,3.65,90.54,2.5,5.27,8.79,8.55,0,0,1,11,362312.1298,1,False,False,False,True,368115.7688
683.26,1.424292051,2,584.54,37.97,5.04,61.99,8.29,91.95,0.57,2.1,4.03,4.15,0,0,1,11,74144.29576,0,False,False,True,False,203461.3509
1025.57,2.540399748,1,81.44,35.25,7.5,8.32,12.64,92.93,0.53,6.51,8.65,6.57,0,1,1,8,142722.0924,0,False,False,True,False,182105.3596
550.0,1.0,2,664.58,24.87,4.38,71.47,18.36,95.99,2.21,3.07,6.8,7.59,1,1,1,15,95851.86024,0,False,False,True,False,175214.5163
1546.07,3.303642262,2,664.26,57.35,6.52,25.11,1.78,80.76,1.47,7.12,1.47,6.63,0,1,2,43,528907.4753,1,False,True,False,False,316992.3677
1119.65,3.17511348,2,880.94,23.73,6.46,164.41,30.22,95.82,1.31,6.09,5.76,3.97,0,1,1,14,285349.259,0,True,False,False,False,204687.7228
1067.87,1.920943228,3,217.9,47.16,7.27,24.71,25.61,99.9,0.97,4.0,5.63,4.34,1,0,1,14,286818.114,1,True,False,False,False,331226.1443
1009.88,4.172887365,3,1151.39,53.47,6.14,2.43,10.29,94.88,1.63,6.75,5.33,3.13,0,0,1,18,238363.5957,1,True,False,False,False,373180.0435
666.15,2.405492177,2,831.59,15.22,4.97,69.85,22.32,94.52,1.64,3.22,8.12,5.9,1,0,1,12,87185.42451,0,False,False,True,False,208793.7303
1330.19,1.353995462,3,1112.81,28.24,9.0,53.99,8.55,99.9,0.02,4.83,5.84,6.54,1,0,1,21,333195.2274,0,False,False,False,False,253823.7214
550.0,3.059713017,3,659.46,12.74,7.76,67.2,7.45,96.14,1.89,6.75,4.64,6.01,0,1,1,14,331748.4182,1,False,False,True,False,287104.5116
1225.84,1.656656281,2,362.58,13.08,8.5,54.46,21.8,91.71,1.29,5.94,10.0,10.0,1,0,2,16,300368.3868,1,False,False,False,False,377492.2962
550.0,2.802106091,2,839.33,51.3,6.62,54.43,34.23,99.17,1.46,3.38,0.71,3.02,0,1,1,12,68947.38787,0,False,False,False,False,179790.1416
1666.6,2.95049827,3,601.89,19.93,7.14,84.8,10.68,93.24,1.52,5.01,4.44,5.85,0,0,1,16,462356.9435,1,False,False,False,False,342150.0252
1476.09,2.97776404,3,353.2,35.18,9.22,102.72,10.09,98.86,1.66,5.3,1.76,7.31,0,1,1,12,434782.5468,1,False,False,False,True,543120.4207
1289.57,2.468771526,1,575.73,50.43,3.14,85.11,22.33,96.03,2.43,6.28,3.8,4.57,0,0,1,18,50673.99419,0,True,False,False,False,127826.9011
550.0,2.2403128,2,649.67,9.63,6.24,114.35,27.58,98.08,0.94,3.87,9.66,5.04,1,0,1,14,63368.91918,0,False,False,True,False,165566.0579
